**********  emmision probabilities  **********
P(Et | Xt)
P( m | g ) = 0.000582 
P( n | g ) = 0.000582 
P( o | g ) = 0.000582 
P( p | g ) = 0.000582 
P( q | g ) = 0.000582 
P( r | g ) = 0.000582 
P( s | g ) = 0.000582 
P( t | g ) = 0.041117 
P( u | g ) = 0.000582 
P( v | g ) = 0.036074 
P( w | g ) = 0.000582 
P( x | g ) = 0.000582 
P( y | g ) = 0.000582 
P( z | g ) = 0.000582 

P( _ | h ) = 0.000238 
P( a | h ) = 0.000238 
P( b | h ) = 0.043685 
P( c | h ) = 0.000238 
P( d | h ) = 0.000238 
P( e | h ) = 0.000238 
P( f | h ) = 0.000238 
P( g | h ) = 0.039873 
P( h | h ) = 0.790786 
P( i | h ) = 0.000238 
P( j | h ) = 0.03892 
P( k | h ) = 0.000238 
P( l | h ) = 0.000238 
P( m | h ) = 0.000238 
P( n | h ) = 0.045115 
P( o | h ) = 0.000238 
P( p | h ) = 0.000238 
P( q | h ) = 0.000238 
P( r | h ) = 0.000238 
P( s | h ) = 0.000238 
P( t | h ) = 0.000238 
P( u | h ) = 0.000238 
P( v | h ) = 0.000238 
P( w | h ) = 0.000238 
P( x | h ) = 0.000238 
P( y | h ) = 0.037967 
P( z | h ) = 0.000238 

P( _ | i ) = 0.000147 
P( a | i ) = 0.000147 
P( b | i ) = 0.000147 
P( c | i ) = 0.000147 
P( d | i ) = 0.000147 
P( e | i ) = 0.000147 
P( f | i ) = 0.000147 
P( g | i ) = 0.000147 
P( h | i ) = 0.000147 
P( i | i ) = 0.799433 
P( j | i ) = 0.048015 
P( k | i ) = 0.05134 
P( l | i ) = 0.000147 
P( m | i ) = 0.000147 
P( n | i ) = 0.000147 
P( o | i ) = 0.052611 
P( p | i ) = 0.000147 
P( q | i ) = 0.000147 
P( r | i ) = 0.000147 
P( s | i ) = 0.000147 
P( t | i ) = 0.000147 
P( u | i ) = 0.046255 
P( v | i ) = 0.000147 
P( w | i ) = 0.000147 
P( x | i ) = 0.000147 
P( y | i ) = 0.000147 
P( z | i ) = 0.000147 

P( _ | j ) = 0.011719 
P( a | j ) = 0.011719 
P( b | j ) = 0.011719 
P( c | j ) = 0.011719 
P( d | j ) = 0.011719 
P( e | j ) = 0.011719 
P( f | j ) = 0.011719 
P( g | j ) = 0.011719 
P( h | j ) = 0.023438 
P( i | j ) = 0.011719 
P( j | j ) = 0.617188 
P( k | j ) = 0.039063 
P( l | j ) = 0.011719 
P( m | j ) = 0.023438 
P( n | j ) = 0.03125 
P( o | j ) = 0.011719 
P( p | j ) = 0.011719 
P( q | j ) = 0.011719 
P( r | j ) = 0.011719 
P( s | j ) = 0.011719 
P( t | j ) = 0.011719 
P( u | j ) = 0.085938 
P( v | j ) = 0.011719 
P( w | j ) = 0.011719 
P( x | j ) = 0.011719 
P( y | j ) = 0.011719 
P( z | j ) = 0.011719 

P( _ | k ) = 0.002551 
P( a | k ) = 0.002551 
P( b | k ) = 0.002551 
P( c | k ) = 0.002551 
P( d | k ) = 0.002551 
P( e | k ) = 0.002551 
P( f | k ) = 0.002551 
P( g | k ) = 0.002551 
P( h | k ) = 0.002551 
P( i | k ) = 0.037415 
P( j | k ) = 0.040816 
P( k | k ) = 0.79932 
P( l | k ) = 0.034014 
P( m | k ) = 0.047619 
P( n | k ) = 0.002551 
P( o | k ) = 0.002551 
P( p | k ) = 0.002551 
P( q | k ) = 0.002551 
P( r | k ) = 0.002551 
P( s | k ) = 0.002551 
P( t | k ) = 0.002551 
P( u | k ) = 0.002551 
P( v | k ) = 0.002551 
P( w | k ) = 0.002551 
P( x | k ) = 0.002551 
P( y | k ) = 0.002551 
P( z | k ) = 0.002551 

P( _ | l ) = 0.00025 
P( a | l ) = 0.00025 
P( b | l ) = 0.00025 
P( c | l ) = 0.00025 
P( d | l ) = 0.00025 
P( e | l ) = 0.00025 
P( f | l ) = 0.00025 
P( g | l ) = 0.00025 
P( h | l ) = 0.00025 
P( i | l ) = 0.00025 
P( j | l ) = 0.00025 
P( k | l ) = 0.06591 
P( l | l ) = 0.801268 
P( m | l ) = 0.00025 
P( n | l ) = 0.00025 
P( o | l ) = 0.065743 
P( p | l ) = 0.062907 
P( q | l ) = 0.00025 
P( r | l ) = 0.00025 
P( s | l ) = 0.00025 
P( t | l ) = 0.00025 
P( u | l ) = 0.00025 
P( v | l ) = 0.00025 
P( w | l ) = 0.00025 
P( x | l ) = 0.00025 
P( y | l ) = 0.00025 
P( z | l ) = 0.00025 

P( _ | m ) = 0.00042 
P( a | m ) = 0.00042 
P( b | m ) = 0.00042 
P( c | m ) = 0.00042 
P( d | m ) = 0.00042 
P( e | m ) = 0.00042 
P( f | m ) = 0.00042 
P( g | m ) = 0.00042 
P( h | m ) = 0.00042 
P( i | m ) = 0.00042 
P( j | m ) = 0.06523 
P( k | m ) = 0.066349 
P( l | m ) = 0.00042 
P( m | m ) = 0.799552 
P( n | m ) = 0.06187 
P( o | m ) = 0.00042 
P( p | m ) = 0.00042 
P( q | m ) = 0.00042 
P( r | m ) = 0.00042 
P( s | m ) = 0.00042 
P( t | m ) = 0.00042 
P( u | m ) = 0.00042 
P( v | m ) = 0.00042 
P( w | m ) = 0.00042 
P( x | m ) = 0.00042 
P( y | m ) = 0.00042 
P( z | m ) = 0.00042 

P( _ | n ) = 0.000163 
P( a | n ) = 0.000163 
P( b | n ) = 0.052156 
P( c | n ) = 0.000163 
P( d | n ) = 0.000163 
P( e | n ) = 0.000163 
P( f | n ) = 0.000163 
P( g | n ) = 0.000163 
P( h | n ) = 0.052483 
P( i | n ) = 0.000163 
P( j | n ) = 0.050414 
P( k | n ) = 0.000163 
P( l | n ) = 0.000163 
P( m | n ) = 0.048345 
P( n | n ) = 0.79399 
P( o | n ) = 0.000163 
P( p | n ) = 0.000163 
P( q | n ) = 0.000163 
P( r | n ) = 0.000163 
P( s | n ) = 0.000163 
P( t | n ) = 0.000163 
P( u | n ) = 0.000163 
P( v | n ) = 0.000163 
P( w | n ) = 0.000163 
P( x | n ) = 0.000163 
P( y | n ) = 0.000163 
P( z | n ) = 0.000163 

P( _ | o ) = 0.000134 
P( a | o ) = 0.000134 
P( b | o ) = 0.000134 
P( c | o ) = 0.000134 
P( d | o ) = 0.000134 
P( e | o ) = 0.000134 
P( f | o ) = 0.000134 
P( g | o ) = 0.000134 
P( h | o ) = 0.000134 
P( i | o ) = 0.048335 
P( j | o ) = 0.000134 
P( k | o ) = 0.05243 
P( l | o ) = 0.051718 
P( m | o ) = 0.000134 
P( n | o ) = 0.000134 
P( o | o ) = 0.793484 
P( p | o ) = 0.051896 
P( q | o ) = 0.000134 
P( r | o ) = 0.000134 
P( s | o ) = 0.000134 
P( t | o ) = 0.000134 
P( u | o ) = 0.000134 
P( v | o ) = 0.000134 
P( w | o ) = 0.000134 
P( x | o ) = 0.000134 
P( y | o ) = 0.000134 
P( z | o ) = 0.000134 

P( _ | p ) = 0.000488 
P( a | p ) = 0.000488 
P( b | p ) = 0.000488 
P( c | p ) = 0.000488 
P( d | p ) = 0.000488 
P( e | p ) = 0.000488 
P( f | p ) = 0.000488 
P( g | p ) = 0.000488 
P( h | p ) = 0.000488 
P( i | p ) = 0.000488 
P( j | p ) = 0.000488 
P( k | p ) = 0.000488 
P( l | p ) = 0.100586 
P( m | p ) = 0.000488 
P( n | p ) = 0.000488 
P( o | p ) = 0.098633 
P( p | p ) = 0.792318 
P( q | p ) = 0.000488 
P( r | p ) = 0.000488 
P( s | p ) = 0.000488 
P( t | p ) = 0.000488 
P( u | p ) = 0.000488 
P( v | p ) = 0.000488 
P( w | p ) = 0.000488 
P( x | p ) = 0.000488 
P( y | p ) = 0.000488 
